person_id,household_id,age,sex,education_level,is_employed
94,26,37,Male,Secondary,0
95,27,28,Male,Secondary,0
96,27,0,Male,Secondary,0
97,27,31,Female,None,0
98,28,23,Female,Primary,0
99,28,17,Female,Secondary,0
100,29,41,Male,Secondary,0
101,29,5,Female,Secondary,0
102,29,50,Female,Primary,0
103,29,36,Male,Secondary,0
104,30,23,Female,Tertiary,0
105,30,45,Female,Secondary,0
106,30,16,Male,Tertiary,0
107,30,42,Male,Tertiary,0
108,31,29,Female,Secondary,1
109,31,12,Female,Tertiary,0
110,31,24,Male,Secondary,0
111,31,20,Female,Primary,1
112,31,25,Male,None,0
113,32,31,Male,Secondary,0
114,32,22,Female,Tertiary,0
115,32,9,Female,Secondary,0
116,33,34,Male,Secondary,1
117,33,15,Male,Secondary,0
118,33,26,Male,Tertiary,1
119,33,0,Male,Secondary,0
120,33,35,Female,Secondary,0
121,33,29,Female,Secondary,0
122,33,70,Female,Tertiary,1
123,34,61,Male,Secondary,1
124,34,12,Male,None,0
125,34,23,Male,Tertiary,1
126,34,5,Female,Secondary,0
127,35,6,Female,Primary,0
128,35,33,Male,Secondary,1
129,35,47,Male,None,1
130,36,32,Male,Secondary,0
131,37,11,Male,Primary,0
132,37,0,Female,Primary,0
133,37,22,Male,Primary,1
134,37,41,Male,Secondary,1
135,37,37,Female,Secondary,1
136,37,34,Male,None,1
137,37,35,Female,Tertiary,0
138,38,0,Female,Primary,0
139,39,37,Female,Primary,0
140,39,24,Female,Primary,0
141,39,37,Male,Secondary,0
142,40,32,Male,Primary,1
143,40,38,Male,Primary,1
144,40,42,Female,Secondary,1
145,41,16,Male,Tertiary,0
146,41,4,Female,Tertiary,0
147,41,12,Female,Primary,0
148,41,18,Male,None,0
149,41,38,Female,Secondary,1
150,41,0,Female,Secondary,0
151,41,20,Male,Primary,0
152,42,42,Male,Secondary,1
153,42,19,Female,Primary,0
154,42,24,Male,Primary,0
155,42,0,Male,Secondary,0
156,43,24,Male,Primary,0
157,43,35,Male,Secondary,1
158,43,0,Male,Tertiary,0
159,43,8,Female,Primary,0
160,43,17,Male,Secondary,0
161,43,9,Male,Secondary,0
162,44,52,Male,Primary,0
163,45,24,Male,Primary,0
164,45,31,Female,Primary,1
165,45,43,Female,Secondary,0
166,46,3,Female,Secondary,0
167,46,64,Male,Secondary,0
168,46,22,Male,Primary,0
169,46,34,Female,Primary,1
170,46,32,Female,Secondary,0
171,47,0,Female,Secondary,0
172,47,29,Female,Secondary,1
173,47,13,Female,None,0
174,47,29,Female,Secondary,0
175,48,24,Male,Secondary,1
176,48,25,Male,Secondary,1
177,49,14,Male,Secondary,0
178,49,28,Female,Secondary,0
179,49,27,Male,Secondary,1
180,49,58,Female,Tertiary,1
181,49,0,Female,Secondary,0
182,49,40,Male,Primary,0
183,50,9,Male,Primary,0
184,50,34,Female,Tertiary,0
185,50,8,Female,Primary,0
186,50,0,Male,Primary,0
187,51,16,Male,Primary,0
188,51,20,Female,Secondary,0
189,52,55,Female,Secondary,0
190,52,25,Male,Secondary,0
191,52,43,Female,Secondary,0
192,52,27,Male,Secondary,1
193,52,30,Male,Secondary,0
194,53,34,Female,Tertiary,1
195,54,9,Male,Secondary,0
196,54,31,Male,Secondary,0
197,54,24,Male,Secondary,1
198,54,15,Female,None,0
199,55,21,Male,Secondary,0
200,55,6,Female,Secondary,0
201,55,49,Female,Tertiary,0
202,55,47,Female,None,0
203,55,0,Female,Secondary,0
204,55,35,Female,Secondary,1
205,56,37,Male,Tertiary,0
206,56,34,Female,Secondary,0
207,57,59,Male,Secondary,0
208,58,7,Female,Tertiary,0
209,58,39,Female,Primary,0
210,58,25,Female,Tertiary,0
211,58,27,Female,Primary,0
212,58,51,Female,Secondary,0
213,59,16,Female,Primary,0
214,60,35,Male,Tertiary,1
215,60,9,Male,Secondary,0
216,60,4,Female,Secondary,0
217,61,18,Male,None,0
218,61,15,Male,Primary,0
219,62,24,Female,Primary,0
220,62,24,Female,Secondary,1
221,62,25,Female,Secondary,0
222,63,0,Female,Primary,0
223,64,34,Female,Primary,1
224,64,39,Male,Primary,0
225,64,18,Male,Secondary,0
226,65,40,Female,Tertiary,1
227,65,34,Male,Primary,0
228,65,0,Male,Primary,0
229,66,8,Male,Tertiary,0
230,66,20,Male,Tertiary,1
231,66,33,Male,Secondary,1
232,67,64,Female,Secondary,0
233,67,11,Female,Secondary,0
234,67,32,Female,Secondary,1
235,68,11,Male,Secondary,0
236,68,53,Male,Tertiary,1
237,68,1,Male,Primary,0
238,69,23,Male,Primary,0
239,69,0,Male,Secondary,0
240,69,43,Male,Secondary,1
241,69,0,Male,Primary,0
242,69,40,Male,Secondary,0
243,70,38,Female,Secondary,0
244,71,13,Female,Primary,0
245,71,15,Male,None,0
246,71,32,Female,Secondary,0
247,72,58,Female,Primary,0
248,72,5,Female,Secondary,0
249,72,34,Female,Secondary,0
250,72,15,Female,Secondary,0
251,73,0,Female,Secondary,0
252,73,42,Female,Secondary,1
253,73,3,Male,None,0
254,74,10,Female,Primary,0
255,74,17,Male,Secondary,0
256,74,0,Male,Secondary,0
257,74,4,Female,Tertiary,0
258,75,39,Male,Tertiary,0
259,75,23,Female,Primary,0
260,75,24,Female,Primary,0
261,75,76,Male,Primary,0
262,76,11,Female,Primary,0
263,76,13,Male,Tertiary,0
264,77,44,Female,Tertiary,1
265,77,45,Female,Secondary,0
266,77,12,Female,Secondary,0
267,78,10,Male,Secondary,0
268,78,21,Male,Tertiary,0
269,78,31,Female,None,0
270,79,37,Male,Tertiary,0
271,79,5,Female,Secondary,0
272,80,36,Female,Primary,1
273,80,23,Male,Secondary,0
274,80,19,Male,Secondary,0
275,80,58,Male,Secondary,1
276,81,0,Male,Secondary,0
277,81,49,Male,Tertiary,0
278,81,33,Female,Tertiary,0
279,81,18,Male,Secondary,0
280,82,16,Female,Primary,0
281,82,22,Male,Secondary,0
282,82,43,Male,Primary,0
283,82,29,Male,Secondary,0
284,82,2,Male,Secondary,0
285,82,29,Male,None,0
286,82,29,Female,None,0
287,83,31,Male,Primary,0
288,83,57,Female,Tertiary,1
289,83,27,Male,Secondary,1
290,83,0,Male,Tertiary,0
291,83,26,Male,Primary,1
292,83,47,Male,Secondary,1
293,83,40,Female,Secondary,1
294,84,0,Female,Secondary,0
295,84,1,Male,Tertiary,0
296,84,14,Female,Secondary,0
297,84,25,Male,Primary,1
298,85,50,Female,None,0
299,85,25,Male,Primary,0
300,85,43,Female,Secondary,0
301,86,7,Male,Primary,0
302,86,22,Male,Tertiary,1
303,86,33,Female,Secondary,0
304,87,0,Male,Primary,0
305,87,37,Male,Tertiary,0
306,87,18,Female,Secondary,0
307,87,19,Male,Tertiary,0
308,88,0,Female,Primary,0
309,88,29,Male,None,1
310,88,20,Male,Tertiary,0
311,88,42,Female,Tertiary,0
312,88,25,Female,Tertiary,0
313,88,40,Female,Tertiary,0
314,89,16,Female,Secondary,0
315,89,19,Female,Secondary,0
316,89,32,Female,Primary,0
317,89,13,Female,Secondary,0
318,89,20,Female,Tertiary,1
319,89,46,Female,Secondary,0
320,89,0,Female,Secondary,0
321,90,19,Female,Secondary,1
322,90,52,Male,Tertiary,1
323,90,0,Male,Tertiary,0
324,90,46,Male,None,1
325,90,36,Male,None,1
326,90,34,Female,Primary,1
327,90,27,Female,None,1
328,91,9,Female,Primary,0
329,91,35,Male,Secondary,0
330,92,33,Male,Secondary,1
331,92,47,Male,Tertiary,0
332,92,22,Male,Secondary,0
333,92,14,Male,Primary,0
334,93,23,Female,Secondary,0
335,94,19,Female,Primary,0
336,94,17,Male,Tertiary,0
337,95,36,Male,Primary,0
338,95,37,Male,Secondary,0
339,95,30,Female,Primary,0
340,95,50,Female,Secondary,1
341,95,17,Female,Secondary,0
342,96,29,Female,Secondary,0
343,96,26,Male,Tertiary,0
344,96,14,Female,Secondary,0
345,97,23,Male,Tertiary,0
346,98,19,Male,Tertiary,0
347,98,28,Female,Primary,0
348,98,53,Female,Tertiary,0
349,98,43,Female,Secondary,0
350,99,40,Male,Secondary,0
351,99,41,Male,Secondary,1
352,99,21,Female,Secondary,1
353,99,51,Female,Secondary,0
354,99,26,Female,Secondary,1
355,99,5,Male,Primary,0
356,100,1,Male,Secondary,0
357,100,47,Male,Secondary,0
358,100,23,Female,Secondary,1
359,100,45,Female,Secondary,1
360,100,6,Female,Tertiary,0
361,100,40,Female,Secondary,0
362,100,14,Male,Tertiary,0
363,101,60,Male,Tertiary,1
364,101,18,Male,Secondary,1
365,101,25,Male,Secondary,1
366,102,35,Female,Primary,1
367,102,26,Female,Secondary,1
368,102,35,Female,Tertiary,0
369,102,10,Female,Secondary,0
370,103,15,Male,Tertiary,0
371,103,24,Male,Tertiary,1
372,104,42,Female,Secondary,0
373,104,29,Female,Primary,0
374,104,8,Male,Secondary,0
375,104,18,Female,Primary,0
376,105,33,Male,Secondary,0
377,105,46,Female,Primary,0
378,105,39,Female,None,0
379,106,21,Female,Secondary,1
380,107,0,Male,Primary,0
381,107,2,Male,Primary,0
382,107,20,Female,Primary,0
383,107,2,Female,Tertiary,0
384,107,5,Female,Primary,0
385,108,1,Male,Primary,0
386,108,41,Female,Secondary,0
387,108,52,Male,Secondary,0
388,109,30,Female,Primary,0
389,109,15,Male,Primary,0
390,110,31,Female,Secondary,0
391,110,25,Female,Tertiary,0
392,110,0,Female,Secondary,0
393,110,0,Male,Secondary,0
394,110,2,Female,Secondary,0
395,111,36,Male,Secondary,0
396,111,38,Female,Secondary,1
397,111,20,Male,Secondary,1
398,112,53,Male,Secondary,0
399,112,15,Female,Secondary,0
400,112,30,Male,Primary,1
401,113,20,Male,Secondary,0
402,113,27,Male,Tertiary,1
403,113,19,Female,Primary,1
404,114,9,Female,Tertiary,0
405,114,33,Female,Tertiary,1
406,114,19,Female,Primary,0
407,114,50,Female,Tertiary,0
408,114,36,Female,Tertiary,0
409,115,0,Male,Secondary,0
410,115,13,Female,Tertiary,0
411,115,68,Male,Primary,0
412,116,43,Female,Secondary,0
413,116,14,Male,Secondary,0
414,116,14,Male,Primary,0
415,116,30,Female,Secondary,0
416,116,13,Male,Secondary,0
417,116,20,Female,Tertiary,0
418,116,19,Male,Primary,1
419,117,13,Female,Tertiary,0
420,117,0,Male,Secondary,0
421,117,20,Female,None,0
422,117,48,Female,Tertiary,0
423,117,45,Male,Secondary,1
424,117,44,Female,Secondary,1
425,118,10,Female,Tertiary,0
426,118,7,Male,Primary,0
427,118,14,Male,Primary,0
428,118,33,Male,Primary,1
429,118,36,Male,Secondary,0
430,119,34,Female,Secondary,0
431,119,5,Male,Secondary,0
432,119,36,Male,Primary,0
433,119,39,Female,Primary,0
434,119,37,Female,Tertiary,0
435,120,30,Female,Secondary,1
436,120,28,Male,Secondary,0
437,120,16,Female,Secondary,0
438,120,49,Male,Tertiary,1
439,121,0,Female,Primary,0
440,121,37,Male,Tertiary,0
441,122,11,Female,Secondary,0
442,122,38,Female,Secondary,1
443,122,16,Female,Primary,0
444,122,13,Male,Tertiary,0
445,122,19,Male,Tertiary,0
446,123,65,Male,Secondary,0
447,123,14,Female,None,0
448,124,26,Female,Secondary,1
449,124,38,Female,Primary,0
450,124,19,Male,Secondary,0
451,124,35,Male,Secondary,1
452,124,44,Male,Tertiary,1
453,125,16,Male,Secondary,0
454,125,8,Female,Tertiary,0
455,125,27,Female,Primary,0
456,126,40,Female,Primary,0
457,126,6,Female,Primary,0
458,126,12,Female,Secondary,0
459,127,10,Female,Secondary,0
460,128,19,Male,Secondary,0
461,128,7,Male,Secondary,0
462,128,8,Male,None,0
463,128,26,Female,Tertiary,1
464,129,3,Female,Secondary,0
465,129,41,Female,Tertiary,0
466,129,0,Female,Secondary,0
467,129,34,Female,Secondary,0
468,130,5,Male,Secondary,0
469,130,23,Female,Secondary,1
470,130,45,Female,Tertiary,1
471,131,52,Male,Secondary,1
472,131,35,Male,Primary,1
473,131,52,Female,Secondary,1
474,132,40,Male,Secondary,1
475,132,0,Male,Secondary,0
476,132,15,Female,Secondary,0
477,133,28,Male,Secondary,0
478,134,18,Female,Primary,0
479,134,24,Female,Primary,0
480,134,3,Female,Primary,0
481,134,43,Male,Secondary,0
482,134,42,Female,Primary,1
483,134,10,Male,Secondary,0
484,134,30,Female,None,0
485,135,58,Male,Tertiary,0
486,135,37,Female,Secondary,0
487,136,4,Female,Primary,0
488,136,3,Male,Secondary,0
489,136,52,Female,Secondary,1
490,137,14,Male,Secondary,0
491,137,77,Male,Secondary,1
492,137,35,Female,Secondary,0
493,137,39,Female,Secondary,1
494,137,41,Female,Tertiary,1
495,137,28,Male,Secondary,0
496,138,70,Female,Primary,1
497,138,22,Male,Tertiary,1
498,138,33,Female,Primary,0
499,138,7,Male,Secondary,0
500,139,48,Female,Primary,0
501,139,0,Male,Primary,0
502,139,3,Male,Primary,0
503,139,29,Female,Tertiary,1
504,140,0,Female,Secondary,0
505,140,44,Female,Secondary,0
506,140,62,Male,Secondary,0
507,140,7,Male,Tertiary,0
508,141,72,Female,Tertiary,0
509,141,27,Female,Secondary,1
510,141,30,Male,Secondary,1
511,141,67,Female,None,0
512,141,38,Female,Tertiary,1
513,141,20,Male,Primary,0
514,141,32,Female,Secondary,0
515,142,30,Male,Primary,0
516,142,46,Male,Secondary,1
517,142,35,Male,Secondary,0
518,142,31,Male,Secondary,0
519,142,48,Male,Secondary,1
520,143,50,Male,Tertiary,1
521,144,0,Male,Tertiary,0
522,144,39,Male,Primary,1
523,144,35,Male,Primary,1
524,144,0,Female,Secondary,0
525,144,40,Male,Tertiary,1
526,145,41,Male,Secondary,0
527,145,43,Male,Tertiary,1
528,146,22,Male,Secondary,0
529,147,9,Female,Primary,0
530,147,39,Female,Primary,0
531,148,0,Male,Secondary,0
532,148,12,Female,None,0
533,148,17,Female,Tertiary,0
534,148,0,Female,Tertiary,0
535,148,10,Male,Tertiary,0
536,148,48,Female,Secondary,1
537,148,28,Female,Secondary,0
538,149,40,Female,Primary,1
539,149,33,Male,Secondary,0
540,149,15,Female,Tertiary,0
541,149,0,Male,Secondary,0
542,149,26,Female,Primary,1
543,150,43,Female,Secondary,1
544,150,72,Male,Primary,1
545,150,12,Female,Secondary,0
546,151,4,Male,Secondary,0
547,151,33,Female,Secondary,0
548,151,29,Female,Tertiary,0
549,151,34,Female,Secondary,0
550,151,33,Male,Tertiary,0
551,151,16,Female,Tertiary,0
552,152,23,Female,Primary,1
553,152,0,Male,None,0
554,152,18,Female,Primary,0
555,153,34,Female,Primary,0
556,153,43,Male,Secondary,0
557,153,49,Female,Secondary,0
558,153,23,Male,Primary,1
559,154,28,Male,Secondary,0
560,154,47,Male,Tertiary,0
561,154,19,Female,Secondary,0
562,154,0,Female,Primary,0
563,155,28,Female,Tertiary,1
564,155,9,Male,None,0
565,155,19,Female,Tertiary,1
566,156,23,Male,Tertiary,0
567,156,17,Female,None,0
568,156,45,Female,Secondary,0
569,156,0,Female,Secondary,0
570,157,27,Male,Tertiary,1
571,157,0,Female,Secondary,0
572,157,55,Female,Secondary,1
573,157,14,Female,Primary,0
574,157,52,Female,Tertiary,1
575,158,26,Female,Tertiary,1
576,159,3,Male,Secondary,0
577,159,22,Female,Secondary,0
578,159,37,Male,Secondary,1
579,160,32,Male,Primary,1
580,160,31,Male,Primary,1
581,161,26,Female,Secondary,1
582,162,27,Female,Primary,1
583,162,14,Female,Secondary,0
584,162,27,Male,Tertiary,1
585,163,29,Male,Secondary,1
586,163,18,Female,Primary,1
587,163,0,Female,Primary,0
588,163,23,Female,Secondary,1
589,163,37,Male,Tertiary,1
590,164,52,Male,Secondary,1
591,164,45,Male,Primary,0
592,164,16,Female,Tertiary,0
593,164,71,Female,Tertiary,1
594,165,28,Female,Tertiary,1
595,165,45,Male,Primary,1
596,166,11,Female,None,0
597,166,32,Male,Secondary,0
598,166,44,Male,Primary,0
599,167,55,Male,Secondary,0
600,167,2,Male,Secondary,0
601,167,28,Male,Secondary,0
602,168,27,Male,Tertiary,0
603,168,28,Male,Primary,1
604,168,19,Female,Secondary,1
605,168,15,Female,Tertiary,0
606,168,30,Female,Primary,0
607,168,21,Female,Secondary,1
608,169,39,Female,Tertiary,0
609,169,15,Female,Tertiary,0
610,169,22,Male,Secondary,0
611,169,38,Male,Tertiary,0
612,170,49,Male,Secondary,0
613,170,5,Female,Secondary,0
614,170,22,Male,Secondary,0
615,171,0,Male,Secondary,0
616,171,29,Female,Secondary,1
617,171,29,Male,None,0
618,171,22,Female,Secondary,0
619,171,12,Male,Primary,0
620,171,21,Female,None,0
621,172,32,Male,Secondary,0
622,172,21,Male,Secondary,1
623,172,28,Male,Secondary,0
624,172,34,Male,Secondary,0
625,173,27,Male,Primary,1
626,173,22,Female,Secondary,1
627,174,50,Female,Secondary,1
628,174,15,Male,Primary,0
629,174,56,Female,Secondary,0
630,174,29,Female,Primary,0
631,175,8,Male,Secondary,0
632,176,38,Male,Tertiary,1
633,176,57,Female,Secondary,0
634,177,37,Male,Secondary,0
635,177,70,Male,Secondary,1
636,177,22,Female,Secondary,1
637,177,44,Male,Tertiary,1
638,178,6,Male,Primary,0
639,178,0,Female,Primary,0
640,178,16,Male,None,0
641,178,25,Male,Tertiary,0
642,179,32,Female,Primary,0
643,179,35,Female,Secondary,0
644,179,41,Male,Secondary,1
645,179,21,Female,Primary,1
646,180,38,Female,Tertiary,0
647,181,0,Female,Tertiary,0
648,181,18,Female,Secondary,1
649,181,0,Male,None,0
650,182,52,Female,Secondary,1
651,182,9,Male,Primary,0
652,182,0,Male,Primary,0
653,182,11,Female,Secondary,0
654,182,12,Male,Primary,0
655,182,36,Female,Secondary,0
656,183,41,Female,Secondary,0
657,183,36,Female,Secondary,1
658,183,16,Male,Primary,0
659,184,48,Female,Secondary,1
660,184,26,Female,Secondary,0
661,184,23,Male,Secondary,1
662,184,37,Female,Primary,0
663,184,0,Male,Secondary,0
664,184,34,Male,Secondary,0
665,184,32,Female,Tertiary,1
666,185,9,Male,Secondary,0
667,185,27,Male,None,0
668,185,7,Male,Tertiary,0
669,185,17,Female,Secondary,0
670,185,38,Male,Secondary,0
671,185,32,Male,Secondary,0
672,185,23,Female,Secondary,0
673,186,3,Male,Tertiary,0
674,186,8,Male,Secondary,0
675,186,19,Female,Secondary,0
676,186,38,Male,Tertiary,0
677,186,42,Male,Secondary,1
678,187,52,Male,Tertiary,0
679,188,25,Female,Secondary,1
680,188,39,Female,Tertiary,1
681,189,11,Male,Secondary,0
682,189,0,Female,Tertiary,0
683,189,44,Female,Tertiary,1
684,189,15,Female,Secondary,0
685,190,0,Male,Tertiary,0
686,190,27,Female,Secondary,0
687,191,2,Female,Secondary,0
688,191,42,Female,Secondary,1
689,192,38,Female,Secondary,0
690,192,24,Male,None,1
691,192,25,Female,Secondary,0
692,192,21,Male,Secondary,1
693,192,27,Male,Secondary,0
694,193,38,Male,Secondary,1
695,193,42,Female,Secondary,1
696,194,37,Male,Tertiary,0
697,194,39,Female,Primary,0
698,194,28,Male,Primary,1
699,194,0,Female,Primary,0
700,195,31,Female,Tertiary,1
701,195,0,Female,Secondary,0
702,195,44,Female,Secondary,0
703,195,11,Female,Tertiary,0
704,195,34,Male,Primary,0
705,196,27,Male,Primary,0
706,196,0,Female,None,0
707,196,17,Male,Secondary,0
708,196,25,Male,Secondary,0
709,196,24,Female,Tertiary,1
710,197,64,Male,Primary,1
711,197,31,Female,Secondary,0
712,197,40,Female,Primary,1
713,198,35,Female,Tertiary,0
714,198,36,Male,Secondary,1
715,198,17,Female,Secondary,0
716,198,16,Female,Tertiary,0
717,198,30,Female,Primary,1
718,199,18,Male,Secondary,1
719,200,39,Male,Secondary,1
720,200,60,Male,Tertiary,0
721,201,30,Female,None,0
722,201,19,Male,Tertiary,1
723,201,40,Female,Primary,0
724,201,25,Female,Secondary,0
725,202,37,Male,Secondary,0
726,203,1,Female,Secondary,0
727,203,27,Female,Secondary,0
728,203,46,Male,Secondary,0
729,204,23,Male,Primary,1
730,204,16,Female,Tertiary,0
731,204,9,Female,Secondary,0
732,204,25,Male,Tertiary,1
733,204,32,Female,Secondary,1
734,205,0,Female,Tertiary,0
735,205,58,Female,Tertiary,0
736,206,45,Female,Primary,1
737,206,21,Female,Tertiary,0
738,206,9,Female,Tertiary,0
739,206,31,Male,Tertiary,1
740,206,34,Female,Primary,0
741,207,19,Male,Primary,1
742,207,41,Female,Primary,0
743,207,0,Male,Primary,0
744,207,29,Male,Tertiary,1
745,208,7,Female,Secondary,0
746,208,27,Female,None,1
747,208,19,Female,Secondary,0
748,209,31,Female,None,0
749,209,13,Male,Secondary,0
750,209,21,Male,Primary,0
751,209,42,Female,Tertiary,0
752,209,28,Female,Primary,0
753,210,6,Female,Secondary,0
754,210,42,Female,Secondary,1
755,211,54,Female,Tertiary,0
756,212,33,Male,None,1
757,212,55,Female,Secondary,1
758,212,21,Female,Tertiary,1
759,212,23,Female,Tertiary,1
760,213,24,Male,Primary,0
761,213,22,Female,Secondary,0
762,213,6,Female,Secondary,0
763,214,21,Female,Secondary,0
764,214,34,Female,Tertiary,1
765,214,31,Female,Secondary,0
766,214,30,Female,None,0
767,215,0,Female,Secondary,0
768,215,67,Male,Primary,1
769,216,45,Male,Secondary,1
770,216,66,Female,Secondary,0
771,216,12,Male,Secondary,0
772,216,44,Female,Secondary,0
773,216,23,Male,Tertiary,0
774,217,16,Female,Secondary,0
775,217,21,Female,Primary,1
776,217,40,Male,Secondary,0
777,217,10,Female,Secondary,0
778,217,25,Male,Secondary,0
779,218,23,Female,Tertiary,0
780,218,66,Male,Tertiary,0
781,218,29,Female,Primary,0
782,218,45,Male,Tertiary,0
783,218,0,Female,Primary,0
784,218,35,Female,Secondary,0
785,219,18,Female,Tertiary,1
786,219,31,Male,Secondary,1
787,219,0,Female,Secondary,0
788,219,31,Female,Secondary,0
789,219,37,Female,Secondary,1
790,220,12,Female,Secondary,0
791,220,0,Female,Secondary,0
792,220,0,Female,Secondary,0
793,220,2,Male,Secondary,0
794,220,5,Male,Primary,0
795,221,25,Female,Primary,1
796,221,31,Female,Primary,1
797,221,34,Female,Secondary,0
798,222,14,Male,Primary,0
799,222,11,Female,Tertiary,0
800,222,18,Male,Primary,1
801,222,37,Female,Tertiary,0
802,223,21,Male,Secondary,0
803,223,48,Male,Tertiary,0
804,224,29,Male,Primary,0
805,224,7,Male,Tertiary,0
806,224,27,Female,Secondary,1
807,225,2,Male,Primary,0
808,225,42,Male,Tertiary,0
809,225,13,Male,Secondary,0
810,225,44,Female,Secondary,1
811,225,31,Female,Secondary,0
812,225,44,Female,Secondary,0
813,226,32,Female,None,1
814,226,0,Female,Secondary,0
815,226,18,Female,Secondary,1
816,227,63,Female,Secondary,1
817,227,24,Female,Secondary,1
818,227,18,Female,Secondary,1
819,227,0,Female,Secondary,0
820,227,16,Female,Tertiary,0
821,228,40,Male,Secondary,1
822,228,48,Female,Primary,0
823,228,50,Male,Tertiary,1
824,228,18,Female,Primary,1
825,228,29,Female,Secondary,1
826,228,0,Male,Primary,0
827,228,25,Male,None,0
828,229,21,Female,Secondary,0
829,229,40,Female,Tertiary,0
830,230,22,Female,None,1
831,230,23,Female,Secondary,0
832,230,0,Male,Tertiary,0
833,230,51,Male,Secondary,1
834,231,38,Female,Secondary,0
835,232,34,Male,Secondary,0
836,232,58,Female,Primary,1
837,232,0,Male,Primary,0
838,232,0,Male,Primary,0
839,233,45,Male,Primary,0
840,233,8,Female,Tertiary,0
841,233,0,Female,Secondary,0
842,233,59,Female,Primary,0
843,233,38,Female,Secondary,1
844,234,27,Male,Secondary,1
845,235,21,Female,Tertiary,1
846,235,21,Male,Primary,0
847,235,31,Female,Secondary,0
848,236,3,Female,Secondary,0
849,236,21,Male,Secondary,0
850,237,26,Female,Primary,1
851,237,29,Male,Secondary,0
852,238,62,Male,Tertiary,0
853,238,24,Female,None,0
854,238,5,Female,Secondary,0
855,238,29,Male,Tertiary,1
856,238,39,Female,Secondary,1
857,238,1,Female,None,0
858,239,40,Female,Primary,0
859,239,24,Male,Tertiary,0
860,239,59,Male,Primary,1
861,239,35,Female,Secondary,1
862,239,11,Female,Secondary,0
863,240,10,Female,Tertiary,0
864,241,45,Female,Secondary,1
865,241,7,Female,Secondary,0
866,241,28,Female,Tertiary,1
867,241,8,Male,Secondary,0
868,241,18,Female,Secondary,1
869,242,50,Male,Secondary,0
870,242,18,Female,Tertiary,1
871,242,33,Male,Secondary,0
872,243,32,Female,Tertiary,0
873,243,11,Female,Secondary,0
874,243,38,Male,Tertiary,1
875,243,38,Male,Secondary,0
876,243,15,Female,Primary,0
877,243,8,Female,Tertiary,0
878,244,14,Female,Secondary,0
879,244,13,Female,Primary,0
880,244,46,Female,Secondary,0
881,245,0,Male,Secondary,0
882,245,42,Female,Secondary,0
883,245,0,Female,Secondary,0
